,name,link_vacancy,name_company,link_company,min_salary,maх_salary,salary_currency
59,Data Engineer,https://ekaterinburg.hh.ru/vacancy/39191138?query=data%20engineer, «Газпромбанк» (Акционерное общество),https://ekaterinburg.hh.ru/employer/3388,,,
60,"Big Data Engineer (Kyiv, Lviv, Kharkiv)",https://ekaterinburg.hh.ru/vacancy/42155844?query=data%20engineer, Capital Recruiters,https://ekaterinburg.hh.ru/employer/157789,,,
61,Junior Data Scientist,https://ekaterinburg.hh.ru/vacancy/42201309?query=data%20engineer," EPAM Systems, Inc.",https://ekaterinburg.hh.ru/employer/632462,,,
62,Lead / Senior Data Engineer,https://ekaterinburg.hh.ru/vacancy/42101250?query=data%20engineer,ООО Uklon,https://ekaterinburg.hh.ru/employer/1896475,,,
63,Big Data Engineer,https://ekaterinburg.hh.ru/vacancy/37702433?query=data%20engineer,ООО Accenture,https://ekaterinburg.hh.ru/employer/4080,,,
64,QA Engineer (проект Big data & data visualization),https://ekaterinburg.hh.ru/vacancy/42206767?query=data%20engineer,ООО СВАПС системз,https://ekaterinburg.hh.ru/employer/2650651,,,
65,Data Engineer (Модель рынков),https://ekaterinburg.hh.ru/vacancy/42183744?query=data%20engineer, Сбер. IT,https://ekaterinburg.hh.ru/employer/3529?dpt=3529-3529-it,,,
66,Data Scientist (recommender systems),https://ekaterinburg.hh.ru/vacancy/39881292?query=data%20engineer,АО Центр программ лояльности,https://ekaterinburg.hh.ru/employer/4315301,,,
67,Data engineer (Big Data),https://ekaterinburg.hh.ru/vacancy/41846697?query=data%20engineer, Билайн,https://ekaterinburg.hh.ru/employer/4934?dpt=bil-4934-beel,,,
68,Database Engineer (Data Division),https://ekaterinburg.hh.ru/vacancy/39575203?query=data%20engineer, Infobip,https://ekaterinburg.hh.ru/employer/633863,,,
69,ML engineer/ Computer Vision Data Scientist,https://ekaterinburg.hh.ru/vacancy/41417540?query=data%20engineer,ЗАО Научсофт,https://ekaterinburg.hh.ru/employer/746783,,,
70,Data Scientist,https://ekaterinburg.hh.ru/vacancy/42180910?query=data%20engineer," EPAM Systems, Inc.",https://ekaterinburg.hh.ru/employer/632462,,,
71,Data Engineer,https://ekaterinburg.hh.ru/vacancy/41603353?query=data%20engineer, Lingoda GmbH,https://ekaterinburg.hh.ru/employer/5143995,,,
72,Data Engineer,https://ekaterinburg.hh.ru/vacancy/42175786?query=data%20engineer, Andersen,https://ekaterinburg.hh.ru/employer/851604,,,
73,Data Scientist,https://ekaterinburg.hh.ru/vacancy/41696790?query=data%20engineer, Plarium,https://ekaterinburg.hh.ru/employer/1753419,,,
74,Junior Project Engineer,https://ekaterinburg.hh.ru/vacancy/40677794?query=data%20engineer,ООО Ренейссанс Хэви Индастрис,https://ekaterinburg.hh.ru/employer/3459235,,,
75,Data Engineer (ETL / SQL),https://ekaterinburg.hh.ru/vacancy/39899456?query=data%20engineer,АО Рамакс Интернейшнл,https://ekaterinburg.hh.ru/employer/142514,,,
76,Data Engineer,https://ekaterinburg.hh.ru/vacancy/42175784?query=data%20engineer, Andersen,https://ekaterinburg.hh.ru/employer/851604,,,
77,DataOps инженер,https://ekaterinburg.hh.ru/vacancy/42208994?query=data%20engineer,ООО Вандерсофт Интернэшнл,https://ekaterinburg.hh.ru/employer/4792648,,180000.0,руб.
78,Data Architect,https://ekaterinburg.hh.ru/vacancy/42188107?query=data%20engineer,ТОО AYACOM,https://ekaterinburg.hh.ru/employer/1171465,,,
79,Data Engineer,https://ekaterinburg.hh.ru/vacancy/40698009?query=data%20engineer, Леруа Мерлен. Центральный офис,https://ekaterinburg.hh.ru/employer/8582?dpt=8582-8582-lmofis,,,
80,Data Engineer,https://ekaterinburg.hh.ru/vacancy/42173627?query=data%20engineer, Capital Recruiters,https://ekaterinburg.hh.ru/employer/157789,,,
81,Technical Safety Designer,https://ekaterinburg.hh.ru/vacancy/42140294?query=data%20engineer,АО ПСН КазСтрой,https://ekaterinburg.hh.ru/employer/859571,,,
82,Data Scientist,https://ekaterinburg.hh.ru/vacancy/40085345?query=data%20engineer, Infobip,https://ekaterinburg.hh.ru/employer/633863,,,
83,C# Developer / Data Engineer (remote),https://ekaterinburg.hh.ru/vacancy/41553609?query=data%20engineer, Systematic Alpha Oy,https://ekaterinburg.hh.ru/employer/5101123,,,
84,Data Engineer,https://ekaterinburg.hh.ru/vacancy/42175785?query=data%20engineer, Andersen,https://ekaterinburg.hh.ru/employer/851604,,,
85,Data engineer,https://ekaterinburg.hh.ru/vacancy/41792487?query=data%20engineer,ООО ДИДЖИ ТЕХ,https://ekaterinburg.hh.ru/employer/4346163,,,
86,Data Engineer (Cloud Team),https://ekaterinburg.hh.ru/vacancy/38450281?query=data%20engineer, Big Data Solutions,https://ekaterinburg.hh.ru/employer/2487773,,,
87,Data engineer,https://ekaterinburg.hh.ru/vacancy/40980341?query=data%20engineer,АО ВТБ Лизинг,https://ekaterinburg.hh.ru/employer/84355,,,
88,Data engineer (в команду развития графовой аналитики),https://ekaterinburg.hh.ru/vacancy/39017576?query=data%20engineer, Сбер для экспертов,https://ekaterinburg.hh.ru/employer/3529?dpt=3529-3529-prof,,,
89,Data Engineer,https://ekaterinburg.hh.ru/vacancy/39408997?query=data%20engineer, Game Insight,https://ekaterinburg.hh.ru/employer/735444,,,
90,Data Engineer,https://ekaterinburg.hh.ru/vacancy/42144894?query=data%20engineer," FOZZY GROUP, Корпорация",https://ekaterinburg.hh.ru/employer/25730,,,
91,Data Engineer (Financial Services),https://ekaterinburg.hh.ru/vacancy/41816927?query=data%20engineer, DataArt,https://ekaterinburg.hh.ru/employer/107359,,,
92,Big Data Engineer,https://ekaterinburg.hh.ru/vacancy/42129113?query=data%20engineer,АО TECHNODOM Operator (Технодом Оператор),https://ekaterinburg.hh.ru/employer/25115,,,
93,C# Developer / Data Engineer (remote),https://ekaterinburg.hh.ru/vacancy/41553608?query=data%20engineer, Systematic Alpha Oy,https://ekaterinburg.hh.ru/employer/5101123,,,
94,Data Engineer with AWS Stack (Online Events Platform),https://ekaterinburg.hh.ru/vacancy/41851012?query=data%20engineer, DataArt,https://ekaterinburg.hh.ru/employer/107359,,,
95,Data Engineer,https://ekaterinburg.hh.ru/vacancy/40011763?query=data%20engineer, Teradata,https://ekaterinburg.hh.ru/employer/196122,,,
96,Compiler engineering intern,https://ekaterinburg.hh.ru/vacancy/42172075?query=data%20engineer, Intel Corporation,https://ekaterinburg.hh.ru/employer/2716,,,
97,Data Engineer,https://ekaterinburg.hh.ru/vacancy/41516554?query=data%20engineer,ООО ДДОС ГВАРД,https://ekaterinburg.hh.ru/employer/1761152,,,
98,Data Engineer,https://ekaterinburg.hh.ru/vacancy/40258502?query=data%20engineer, Национальный расчетный депозитарий,https://ekaterinburg.hh.ru/employer/2999164,,,
99,Data Engineer,https://ekaterinburg.hh.ru/vacancy/41639471?query=data%20engineer,ООО Gett,https://ekaterinburg.hh.ru/employer/938231,,,
100,Data Engineer,https://russia.superjob.ru/vakansii/data-engineer-35871500.html,Технопарк «Сколково»,https://russia.superjob.ru/clients/tehnopark-skolkovo-3749932.html,,200000.0,"руб., периодичность месяц"
101,Senior Data Scientist (Remote option),https://russia.superjob.ru/vakansii/senior-data-scientist-35871331.html,Технопарк «Сколково»,https://russia.superjob.ru/clients/tehnopark-skolkovo-3749932.html,,,
102,Разработчик BI (Qlik Sense),https://russia.superjob.ru/vakansii/razrabotchik-bi-35578649.html,Аналитикс Групп,https://russia.superjob.ru/clients/analitiks-grupp-3299487.html,100000.0,120000.0,"руб., периодичность месяц"
103,Разработчик BI (Qlik Sense),https://russia.superjob.ru/vakansii/razrabotchik-bi-35578701.html,Аналитикс Групп,https://russia.superjob.ru/clients/analitiks-grupp-3299487.html,100000.0,120000.0,"руб., периодичность месяц"
104,Разработчик BI (Qlik Sense),https://russia.superjob.ru/vakansii/razrabotchik-bi-35578698.html,Аналитикс Групп,https://russia.superjob.ru/clients/analitiks-grupp-3299487.html,100000.0,120000.0,"руб., периодичность месяц"
105,Разработчик BI (Qlik Sense),https://russia.superjob.ru/vakansii/razrabotchik-bi-35578705.html,Аналитикс Групп,https://russia.superjob.ru/clients/analitiks-grupp-3299487.html,100000.0,120000.0,"руб., периодичность месяц"
106,Разработчик BI (Qlik Sense),https://russia.superjob.ru/vakansii/razrabotchik-bi-35578730.html,Аналитикс Групп,https://russia.superjob.ru/clients/analitiks-grupp-3299487.html,100000.0,120000.0,"руб., периодичность месяц"
107,Разработчик BI (Qlik Sense),https://russia.superjob.ru/vakansii/razrabotchik-bi-35578732.html,Аналитикс Групп,https://russia.superjob.ru/clients/analitiks-grupp-3299487.html,100000.0,120000.0,"руб., периодичность месяц"
108,Разработчик BI (Qlik Sense),https://russia.superjob.ru/vakansii/razrabotchik-bi-35578744.html,Аналитикс Групп,https://russia.superjob.ru/clients/analitiks-grupp-3299487.html,100000.0,120000.0,"руб., периодичность месяц"
109,Разработчик BI (Qlik Sense),https://russia.superjob.ru/vakansii/razrabotchik-bi-35578745.html,Аналитикс Групп,https://russia.superjob.ru/clients/analitiks-grupp-3299487.html,100000.0,120000.0,"руб., периодичность месяц"
110,Разработчик BI (Qlik Sense),https://russia.superjob.ru/vakansii/razrabotchik-bi-35578742.html,Аналитикс Групп,https://russia.superjob.ru/clients/analitiks-grupp-3299487.html,100000.0,120000.0,"руб., периодичность месяц"
111,Разработчик BI (Qlik Sense),https://russia.superjob.ru/vakansii/razrabotchik-bi-35578741.html,Аналитикс Групп,https://russia.superjob.ru/clients/analitiks-grupp-3299487.html,100000.0,120000.0,"руб., периодичность месяц"
112,Разработчик BI (Qlik Sense),https://russia.superjob.ru/vakansii/razrabotchik-bi-35578738.html,Аналитикс Групп,https://russia.superjob.ru/clients/analitiks-grupp-3299487.html,100000.0,120000.0,"руб., периодичность месяц"
113,Разработчик BI (Qlik Sense),https://russia.superjob.ru/vakansii/razrabotchik-bi-35578720.html,Аналитикс Групп,https://russia.superjob.ru/clients/analitiks-grupp-3299487.html,100000.0,120000.0,"руб., периодичность месяц"
114,Разработчик BI (Qlik Sense),https://russia.superjob.ru/vakansii/razrabotchik-bi-35567549.html,Аналитикс Групп,https://russia.superjob.ru/clients/analitiks-grupp-3299487.html,100000.0,120000.0,"руб., периодичность месяц"
115,Backend Developer,https://russia.superjob.ru/vakansii/backend-developer-35851341.html,АйБрейн,https://russia.superjob.ru/clients/ajbrejn-4006520.html,,,
116,IT Рекрутер,https://russia.superjob.ru/vakansii/it-rekruter-35538821.html,Botan Investments,https://russia.superjob.ru/clients/botan-investments-3993327.html,,,
